Month,Year,TAM
02,1920,-8.2
03,1920,-4.1
04,1920,-7.4
05,1920,0.6
06,1920,3.3
07,1920,6.8
08,1920,4.3
09,1920,2.5
10,1920,0.6
11,1920,-2.1
12,1920,-3.8
01,1921,-10.8
02,1921,-9.2
03,1921,-8.8
04,1921,-3.6
05,1921,-0.6
06,1921,3.4
07,1921,4.3
08,1921,4.6
09,1921,1.8
10,1921,-3.1
11,1921,-4.3
12,1921,-3.9
01,1922,-1.7
02,1922,-2.8
03,1922,-11.6
04,1922,-6.0
05,1922,-0.7
06,1922,4.1
07,1922,6.0
08,1922,5.8
09,1922,4.0
10,1922,0.1
11,1922,-2.1
12,1922,-8.3
01,1923,-6.6
02,1923,-7.0
03,1923,-3.0
04,1923,-4.8
05,1923,-1.7
06,1923,0.5
07,1923,3.8
08,1923,3.3
09,1923,3.2
10,1923,0.7
11,1923,-1.8
12,1923,-4.0
01,1924,-2.1
02,1924,-6.1
03,1924,-11.8
04,1924,-8.5
05,1924,-2.1
06,1924,-0.3
07,1924,5.4
08,1924,4.7
09,1924,2.9
10,1924,1.9
11,1924,-3.4
12,1924,-3.4
01,1925,-3.1
02,1925,-7.3
03,1925,-4.7
04,1925,-5.3
05,1925,-2.4
06,1925,3.1
07,1925,6.6
08,1925,5.3
09,1925,4.0
10,1925,-1.7
11,1925,-5.3
12,1925,-7.7
01,1926,-5.9
02,1926,-6.7
03,1926,-11.8
04,1926,-5.8
05,1926,-3.4
06,1926,1.0
07,1926,2.8
08,1926,3.5
09,1926,3.0
10,1926,-2.1
11,1926,-6.3
12,1926,-5.8
01,1927,-7.4
02,1927,-5.7
03,1927,-8.3
04,1927,-7.8
05,1927,-3.1
06,1927,0.7
07,1927,5.5
08,1927,4.8
09,1927,0.7
10,1927,-1.8
11,1927,-4.7
12,1927,-8.4
01,1928,-3.7
02,1928,-5.0
03,1928,-6.7
04,1928,-5.9
05,1928,-2.6
06,1928,-0.4
07,1928,3.8
08,1928,3.8
09,1928,3.1
10,1928,-2.5
11,1928,-5.2
12,1928,-7.1
01,1929,-11.2
02,1929,-2.4
03,1929,-13.0
04,1929,-13.0
05,1929,-3.2
06,1929,-0.3
07,1929,3.2
08,1929,2.8
09,1929,2.8
10,1929,-1.7
11,1929,-2.1
12,1929,-0.3
01,1930,-6.4
02,1930,-5.4
03,1930,-9.1
